,Weight,Length1,Length2,Length3,Height,Width,Species_Parkki,Species_Perch,Species_Pike,Species_Roach,Species_Smelt,Species_Whitefish
94,150,21,23,24,5,3,0,1,0,0,0,0
95,170,21,23,25,6,3,0,1,0,0,0,0
96,225,22,24,25,7,3,0,1,0,0,0,0
97,145,22,24,25,6,3,0,1,0,0,0,0
98,188,22,24,26,6,4,0,1,0,0,0,0
99,180,23,25,26,6,3,0,1,0,0,0,0
100,197,23,25,27,6,4,0,1,0,0,0,0
101,218,25,26,28,7,4,0,1,0,0,0,0
102,300,25,27,28,8,5,0,1,0,0,0,0
103,260,25,27,28,7,4,0,1,0,0,0,0
104,265,25,27,28,7,4,0,1,0,0,0,0
105,250,25,27,28,7,4,0,1,0,0,0,0
106,250,25,28,29,7,4,0,1,0,0,0,0
107,300,26,28,30,7,4,0,1,0,0,0,0
108,320,27,30,31,7,4,0,1,0,0,0,0
109,514,30,32,34,10,6,0,1,0,0,0,0
110,556,32,34,36,10,6,0,1,0,0,0,0
111,840,32,35,37,11,7,0,1,0,0,0,0
112,685,34,36,39,10,6,0,1,0,0,0,0
113,700,34,36,38,10,6,0,1,0,0,0,0
114,700,34,37,39,10,6,0,1,0,0,0,0
115,690,34,37,39,10,6,0,1,0,0,0,0
116,900,36,39,41,11,7,0,1,0,0,0,0
117,650,36,39,41,11,6,0,1,0,0,0,0
118,820,36,39,41,12,7,0,1,0,0,0,0
119,850,36,40,42,11,7,0,1,0,0,0,0
120,900,37,40,42,11,7,0,1,0,0,0,0
121,1015,37,40,42,12,7,0,1,0,0,0,0
122,820,37,40,42,11,6,0,1,0,0,0,0
123,1100,39,42,44,12,6,0,1,0,0,0,0
124,1000,39,43,45,11,7,0,1,0,0,0,0
125,1100,40,43,45,12,7,0,1,0,0,0,0
126,1000,40,43,46,12,8,0,1,0,0,0,0
127,1000,41,44,46,12,7,0,1,0,0,0,0
128,200,30,32,34,5,3,0,0,1,0,0,0
129,300,31,34,37,5,4,0,0,1,0,0,0
130,300,32,35,38,5,4,0,0,1,0,0,0
131,300,34,37,39,6,4,0,0,1,0,0,0
132,430,35,38,40,7,4,0,0,1,0,0,0
133,345,36,38,41,6,3,0,0,1,0,0,0
134,456,40,42,45,7,4,0,0,1,0,0,0
135,510,40,42,45,6,4,0,0,1,0,0,0
136,540,40,43,45,7,5,0,0,1,0,0,0
137,500,42,45,48,6,4,0,0,1,0,0,0
138,567,43,46,48,7,4,0,0,1,0,0,0
139,770,44,48,51,7,5,0,0,1,0,0,0
140,950,48,51,55,8,6,0,0,1,0,0,0
141,1250,52,56,59,10,6,0,0,1,0,0,0
142,1600,56,60,64,9,6,0,0,1,0,0,0
143,1550,56,60,64,9,6,0,0,1,0,0,0
144,1650,59,63,68,10,7,0,0,1,0,0,0
145,6,9,9,10,1,1,0,0,0,0,1,0
146,7,10,10,11,1,1,0,0,0,0,1,0
147,7,10,10,11,1,1,0,0,0,0,1,0
148,9,10,11,12,2,1,0,0,0,0,1,0
149,9,10,11,12,2,1,0,0,0,0,1,0
150,8,10,11,12,1,1,0,0,0,0,1,0
151,10,11,11,13,2,1,0,0,0,0,1,0
152,9,11,11,13,2,1,0,0,0,0,1,0
153,9,11,12,13,2,1,0,0,0,0,1,0
154,12,11,12,13,2,1,0,0,0,0,1,0
155,13,11,12,13,2,1,0,0,0,0,1,0
156,12,12,13,13,2,1,0,0,0,0,1,0
157,19,13,14,15,2,2,0,0,0,0,1,0
158,19,13,15,16,2,1,0,0,0,0,1,0
